value;name;position;display_name;bonus;bonus_weighted;bps;bps_weighted;total_points;total_points_weighted;vpc_ratio;vpc_ratio_weighted
;Bojan Krkic;;;0.0;0.0;5.875;0.9523809523809523;1.5;0.2467261904761905;;
;Bojan Krkic Perez;;;0.0;0.0;0.625;0.078125;0.25;0.03125;;
;Borja Bastón;;;0.125;0.125;4.625;3.739583333333333;1.625;1.1354166666666665;;
;Bradley Guzan;;;0.0;0.0;5.0;0.7916666666666666;1.125;0.17857142857142858;;
;Bradley Smith;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Brahim Diaz;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Brandon Mason;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Branislav Ivanovic;;;0.25;0.05;14.625;2.914136904761905;2.0;0.35238095238095235;;
;Brendan Galloway;;;0.0;0.0;5.5;1.0333333333333334;1.125;0.20625;;
;Brian Lenihan;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Brice Dja Djédjé;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Bruno Martins Indi;;;0.16666666666666666;0.16666666666666666;12.583333333333334;5.3565476190476184;1.3333333333333333;0.810515873015873;;
;Bruno Saltor Grau;;;0.25;0.06666666666666667;12.0;3.457440476190476;2.25;0.6876488095238096;;
;Bryan Oviedo;;;0.0;0.0;4.5;3.145833333333333;0.5;0.35416666666666663;;
;Callum McManaman;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Callum Wilson;;;0.125;0.0625;5.5;3.3871279761904765;2.0;0.9991071428571429;;
;Calum Chambers;;;0.0;0.0;4.8125;2.119791666666667;0.6875;0.2552083333333333;;
;Cameron Borthwick-Jackson;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Cameron Brannagan;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Cameron Carter-Vickers;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Carl Jenkinson;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Carlos De Pena;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Cesc Fàbregas;;;0.1875;0.03125;10.5;3.5383184523809526;1.875;0.6591517857142857;;
;Chancel Mbemba;;;0.375;0.0625;10.125;2.058779761904762;1.875;0.369047619047619;;
;Charlie Adam;;;0.0;0.0;-0.25;-0.11666666666666667;0.0625;0.0625;;
;Charlie Austin;;;0.5;0.26785714285714285;10.4375;5.117113095238095;3.0;1.438095238095238;;
;Charlie Daniels;;;0.375;0.19166666666666665;18.9375;7.272172619047619;3.6875;1.673139880952381;;
;Charlie Taylor;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Charly Musonda;;;0.0;0.0;-0.25;-0.578125;0.25;0.140625;;
;Cheikhou Kouyaté;;;0.0625;0.020833333333333332;10.8125;3.836086309523809;2.25;0.7976190476190477;;
;Chris Brunt;;;0.1875;0.026041666666666664;5.8125;1.5301339285714286;1.25;0.2924107142857143;;
;Chris Long;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Chris Löwe;;;0.0;0.0;16.875;3.8181547619047618;4.125;0.9133928571428571;;
;Chris Smalling;;;0.0;0.0;8.9375;5.136160714285714;1.9375;1.1599702380952381;;
;Chris Wood;;;1.0;0.4611111111111111;13.666666666666666;5.961111111111111;4.666666666666667;1.9944444444444445;;
;Christian Atsu;;;0.25;0.0625;9.875;3.7770833333333336;3.625;1.331547619047619;;
;Christian Benteke;;;0.125;0.03333333333333333;2.9375;0.45044642857142847;1.9375;0.4995535714285715;;
;Christian Eriksen;;;0.75;0.29546130952380956;19.375;7.339657738095238;5.25;1.9517857142857142;;
;Christian Fuchs;;;0.375;0.140625;18.4375;6.59047619047619;2.875;0.9946428571428572;;
;Christian Kabasele;;;0.0;0.0;6.8125;2.5913690476190476;1.0625;0.3287202380952381;;
;Christopher Schindler;;;0.75;0.17857142857142858;23.875;7.149255952380952;4.0;0.8107142857142857;;
;Chuba Akpom;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Chung-yong Lee;;;0.0;0.0;4.4375;0.9328125;1.0625;0.23876488095238096;;
;Ciaran Clark;;;0.375;0.0625;15.75;3.55;3.625;0.7534226190476191;;
;Claudio Bravo;;;0.21428571428571427;0.10714285714285714;8.071428571428571;3.3464285714285715;1.7857142857142858;0.7571428571428571;;
;Claudio Yacob;;;0.0;0.0;5.5625;1.7213541666666665;1.0625;0.30900297619047623;;
;Clinton N'Jie;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Collin Quaner;;;0.0;0.0;2.625;0.37648809523809523;0.875;0.13244047619047616;;
;Connor Goldson;;;0.0;0.0;0.0;0.0;0.0;0.0;;
;Connor Randall;;;0.0;0.0;0.0;0.0;0.0;0.0;;
